REF_DATE,GEO,Population centre and rural areas,Class of worker,North American Industry Classification System (NAICS),VALUE
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.7
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.4
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.8
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.4
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.3
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.5
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.4
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.1
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.6
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.6
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.8
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.6
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.2
Aug-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.3
Sep-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.6
Oct-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.6
Nov-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.5
Dec-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.4
Jan-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.4
Feb-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Mar-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1
Apr-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1.1
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",0.9
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Agriculture [111-112, 1100, 1151-1152]",1
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",16.7
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",17.4
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",16.6
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",14.9
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.7
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.4
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.7
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",13.4
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",14.1
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",14.6
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.4
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",19.5
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",18.9
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",16.1
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",18.4
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",17.2
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.7
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.9
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.8
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",14.5
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.2
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.7
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",17.7
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",18.7
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",18.6
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",18
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",18.2
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",17.4
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.7
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.3
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.6
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",16.1
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",16.5
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",17.1
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",18.9
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",18.9
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",19
Aug-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",19.2
Sep-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",17.6
Oct-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",15.3
Nov-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",13.8
Dec-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",13.8
Jan-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",14.1
Feb-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",14.9
Mar-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",14.2
Apr-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",16.6
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",17.9
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",18.6
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",16.9
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",16.1
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",14.4
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.2
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.2
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.2
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],1.9
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],1.8
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],1.7
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],1.9
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],1.8
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.2
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.2
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.7
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.7
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.8
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.6
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.4
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.4
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.7
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.8
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.5
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.4
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],1.9
Aug-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
Sep-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.2
Oct-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
Nov-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2
Dec-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2
Jan-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Feb-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Mar-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.4
Apr-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.2
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.3
Aug-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.1
Sep-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities [22],2.2
May-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],15.7
Jun-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],18.3
Jul-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],18.7
Aug-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],21
Sep-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.1
Oct-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],19.7
Nov-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],18.9
Dec-21,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],16.3
Jan-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],12.2
Feb-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],14.3
Mar-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],16.2
Apr-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],17.3
May-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],18.6
Jun-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.3
Jul-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.6
Aug-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.7
Sep-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],21.4
Oct-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],21.3
Nov-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],22.9
Dec-22,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],19.5
Jan-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],16.7
Feb-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],16.1
Mar-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],17.3
Apr-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],17.6
May-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.7
Jun-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.4
Jul-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.5
Aug-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],21.3
Sep-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.8
Oct-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],22
Nov-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],21.6
Dec-23,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],19.9
Jan-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],18.3
Feb-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],18.1
Mar-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],17.8
Apr-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],18.2
May-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.1
Jun-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],22.3
Jul-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],23.2
Aug-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],22
Sep-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.4
Oct-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],19.5
Nov-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],19.7
Dec-24,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],18.2
Jan-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],15.2
Feb-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],16.5
Mar-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],14.8
Apr-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],16.2
May-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],17.8
Jun-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],20.2
Jul-25,Newfoundland and Labrador,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction [23],21
